Meter #,Sec Meter #,Serv Addr,Stat,Meter Type,Account,Serv Loc #,Name,Service Use Type,AMR Transponder ID
155664582,230491592,,8,1,,,,,230491592
155664583,230491605,,8,1,,,,,230491605
155664584,230491589,,8,1,,,,,230491589
155664585,230491617,,8,1,,,,,230491617
155664586,230491608,,8,1,,,,,230491608
155664587,230491636,,8,1,,,,,230491636
155664588,230491619,,8,1,,,,,230491619
155664589,230491588,,8,1,,,,,230491588
155664590,230491622,,8,1,,,,,230491622
155664591,230491596,,8,1,,,,,230491596
155664592,230491591,,8,1,,,,,230491591
155664593,230491633,,8,1,,,,,230491633
155664594,230491599,,8,1,,,,,230491599
155664595,230491578,,8,1,,,,,230491578
155664596,230491577,,8,1,,,,,230491577
155664597,230491575,,8,1,,,,,230491575
155664598,230491571,,8,1,,,,,230491571
155664599,230491574,,8,1,,,,,230491574
155664600,230491649,,8,1,,,,,230491649
155664601,230491580,,8,1,,,,,230491580
155664602,230491600,,8,1,,,,,230491600
155664603,230491579,,8,1,,,,,230491579
155664604,230491595,,8,1,,,,,230491595
155664605,230491615,,8,1,,,,,230491615
155664606,230491584,,8,1,,,,,230491584
155664607,230491587,,8,1,,,,,230491587
155664608,230491583,,8,1,,,,,230491583
155664609,230491612,,8,1,,,,,230491612
155664610,230491655,,8,1,,,,,230491655
155664611,230491660,,8,1,,,,,230491660
155664612,230491570,,8,1,,,,,230491570
155664613,230491607,,8,1,,,,,230491607
155664614,230491603,,8,1,,,,,230491603
155664615,230491625,,8,1,,,,,230491625
155664616,230491610,,8,1,,,,,230491610
155664617,230491654,,8,1,,,,,230491654
155664618,230491609,,8,1,,,,,230491609
155664619,230491572,,8,1,,,,,230491572
155664620,230491585,,8,1,,,,,230491585
155664621,230491576,,8,1,,,,,230491576
155664622,230491631,,8,1,,,,,230491631
155664623,230491964,,8,1,,,,,230491964
155664624,230491632,,8,1,,,,,230491632
155664625,230491877,,8,1,,,,,230491877
155664626,230491598,,8,1,,,,,230491598
155664627,230491594,,8,1,,,,,230491594
155664628,230491871,,8,1,,,,,230491871
155664629,230491634,,8,1,,,,,230491634
